name,description,url
Healthcare Service Associate Solution,Healthcare Service Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-service-associate-solution/
Healthcare Support Specialist Solution,Healthcare Support Specialist Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-support-specialist-solution/
Home Health Aide Solution,Home Health Aide Solution,https://www.shl.com/solutions/products/product-catalog/view/home-health-aide-solution/
Hospitality Manager Solution,Hospitality Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/hospitality-manager-solution/
Host Solution,Host Solution,https://www.shl.com/solutions/products/product-catalog/view/host-solution/
Industrial - Entry Level 7.0 Solution,Industrial - Entry Level 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-0-solution/
Industrial - Entry Level 7.1 (Americas),Industrial - Entry Level 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28americas%29/
Industrial - Entry Level 7.1 (International),Industrial - Entry Level 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/
Industrial - Professional and Skilled 7.0 Solution,Industrial - Professional and Skilled 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/
BizTalk (New),BizTalk (New),https://www.shl.com/solutions/products/product-catalog/view/biztalk-new/
Business Communication (adaptive),Business Communication (adaptive),https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/
Business Communications,Business Communications,https://www.shl.com/solutions/products/product-catalog/view/business-communications/
C Programming (New),C Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new/
C# Programming (New),C# Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4039/
C++ Programming (New),C++ Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4122/
Cardiology and Diabetes Management (New),Cardiology and Diabetes Management (New),https://www.shl.com/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/
Ceramic Engineering (New),Ceramic Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/ceramic-engineering-new/
Chemical Engineering (New),Chemical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/chemical-engineering-new/
Cisco AppDynamics (New),Cisco AppDynamics (New),https://www.shl.com/solutions/products/product-catalog/view/cisco-appdynamics-new/
Civil Engineering (New),Civil Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/civil-engineering-new/
Cloud Computing (New),Cloud Computing (New),https://www.shl.com/solutions/products/product-catalog/view/cloud-computing-new/
Industrial - Semi-skilled 7.1 (Americas),Industrial - Semi-skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28americas%29/
Industrial - Semi-skilled 7.1 (International),Industrial - Semi-skilled 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/
Industrial Professional and Skilled 7.1 (Americas),Industrial Professional and Skilled 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-%28americas%29/
Industrial Professional and Skilled 7.1 Solution,Industrial Professional and Skilled 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/industrial-professional-and-skilled-7-1-solution/
Installation and Repair Technician Solution,Installation and Repair Technician Solution,https://www.shl.com/solutions/products/product-catalog/view/installation-and-repair-technician-solution/
Insurance Account Manager Solution,Insurance Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-account-manager-solution/
Insurance Administrative Assistant Solution,Insurance Administrative Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-administrative-assistant-solution/
Insurance Agent Solution,Insurance Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-agent-solution/
Insurance Director Solution,Insurance Director Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-director-solution/
Insurance Sales Manager Solution,Insurance Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/insurance-sales-manager-solution/
Manager - Short Form,Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/manager-short-form/
Manager + 7.0 Solution,Manager + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution-3955/
COBOL Programming (New),COBOL Programming (New),https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new/
Computer Science (New),Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/
Contact Center Call Simulation (New),Contact Center Call Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new/
Conversational Multichat Simulation,Conversational Multichat Simulation,https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation/
Core Java (Advanced Level) (New),Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/
Core Java (Entry Level) (New),Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/
Count Out The Money,Count Out The Money,https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money/
CSS3 (New),CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/
Culinary Skills (New),Culinary Skills (New),https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/
Customer Service Phone Simulation,Customer Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/
Customer Service Phone Solution,Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/
Cyber Risk (New),Cyber Risk (New),https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/
Manager + 7.1 (Americas),Manager + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution-4242/
Manager + 7.1 (International),Manager + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28international%29/
Manager 7.0 Solution,Manager 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/manager-7-0-solution/
Manager 7.1 (Americas),Manager 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-%28americas%29/
Manager 7.1 (International),Manager 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/manager-7-1-solution/
Manager 8.0 JFA,Manager 8.0 JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa/
Manager 8.0+ JFA,Manager 8.0+ JFA,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/
Manufacturing Production Team Member,Manufacturing Production Team Member,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-production-team-member/
Manufacturing Skilled Maintenance Worker,Manufacturing Skilled Maintenance Worker,https://www.shl.com/solutions/products/product-catalog/view/manufacturing-skilled-maintenance-worker/
Network Engineer/Analyst Solution,Network Engineer/Analyst Solution,https://www.shl.com/solutions/products/product-catalog/view/network-engineeranalyst-solution/
Nurse Leader Solution,Nurse Leader Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-leader-solution/
Nurse Solution,Nurse Solution,https://www.shl.com/solutions/products/product-catalog/view/nurse-solution/
Data Entry (New),Data Entry (New),https://www.shl.com/solutions/products/product-catalog/view/data-entry-new/
Data Entry Alphanumeric Split Screen - US,Data Entry Alphanumeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/
Data Entry Numeric Split Screen - US,Data Entry Numeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/
Data Entry Ten Key Split Screen,Data Entry Ten Key Split Screen,https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/
Data Science (New),Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/data-science-new/
Data Warehousing Concepts,Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/
Dependability and Safety Instrument (DSI),Dependability and Safety Instrument (DSI),https://www.shl.com/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/
Dermatology (New),Dermatology (New),https://www.shl.com/solutions/products/product-catalog/view/dermatology-new/
Desktop Support (New),Desktop Support (New),https://www.shl.com/solutions/products/product-catalog/view/desktop-support-new/
Digital Advertising (New),Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/
Digital Readiness Development Report - IC,Digital Readiness Development Report - IC,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report/
Digital Readiness Development Report - Manager,Digital Readiness Development Report - Manager,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report-manager/
Nursing Assistant Solution,Nursing Assistant Solution,https://www.shl.com/solutions/products/product-catalog/view/nursing-assistant-solution/
Personal Banker - Short Form,Personal Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/personal-banker-short-form/
Phone Banker - Short Form,Phone Banker - Short Form,https://www.shl.com/solutions/products/product-catalog/view/phone-banker-short-form/
Prep/Line Cook Solution,Prep/Line Cook Solution,https://www.shl.com/solutions/products/product-catalog/view/prepline-cook-solution/
Professional + 7.0 Solution,Professional + 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/
Professional + 7.1 (Americas),Professional + 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-%28americas%29/
Professional + 7.1 (International),Professional + 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/
